alpha,beta,mach,Cmr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,749.4438
-0.03490658503988659,-0.026179938779914945,0.01,656.4227
-0.03490658503988659,-0.017453292519943295,0.01,525.0112
-0.03490658503988659,-0.008726646259971648,0.01,319.858
-0.03490658503988659,0.0,0.01,52.0319
-0.03490658503988659,0.008726646259971648,0.01,-239.1273
-0.03490658503988659,0.017453292519943295,0.01,-473.6211
-0.03490658503988659,0.026179938779914945,0.01,-639.043
-0.03490658503988659,0.03490658503988659,0.01,-749.4438
-0.026179938779914945,-0.03490658503988659,0.01,838.8036
-0.026179938779914945,-0.026179938779914945,0.01,751.0658
-0.026179938779914945,-0.017453292519943295,0.01,621.6832
-0.026179938779914945,-0.008726646259971648,0.01,391.3659
-0.026179938779914945,0.0,0.01,41.0392
-0.026179938779914945,0.008726646259971648,0.01,-336.0038
-0.026179938779914945,0.017453292519943295,0.01,-597.1266
-0.026179938779914945,0.026179938779914945,0.01,-751.0658
-0.026179938779914945,0.03490658503988659,0.01,-836.6467
-0.017453292519943295,-0.03490658503988659,0.01,935.5387
-0.017453292519943295,-0.026179938779914945,0.01,869.858
-0.017453292519943295,-0.017453292519943295,0.01,752.5048
-0.017453292519943295,-0.008726646259971648,0.01,519.7676
-0.017453292519943295,0.0,0.01,28.4307
-0.017453292519943295,0.008726646259971648,0.01,-490.5919
-0.017453292519943295,0.017453292519943295,0.01,-752.5048
-0.017453292519943295,0.026179938779914945,0.01,-860.7612
-0.017453292519943295,0.03490658503988659,0.01,-916.1478
-0.008726646259971648,-0.03490658503988659,0.01,1015.431
-0.008726646259971648,-0.026179938779914945,0.01,992.3223
-0.008726646259971648,-0.017453292519943295,0.01,931.2734
-0.008726646259971648,-0.008726646259971648,0.01,753.6757
-0.008726646259971648,0.0,0.01,14.5903
-0.008726646259971648,0.008726646259971648,0.01,-753.6757
-0.008726646259971648,0.017453292519943295,0.01,-918.3573
-0.008726646259971648,0.026179938779914945,0.01,-972.2852
-0.008726646259971648,0.03490658503988659,0.01,-994.3552
0.0,-0.03490658503988659,0.01,1039.625
0.0,-0.026179938779914945,0.01,1041.4728
0.0,-0.017453292519943295,0.01,1042.795
0.0,-0.008726646259971648,0.01,1043.7603
0.0,0.0,0.01,0.0
