alpha,beta,mach,Cnr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,706.1301
-0.03490658503988659,-0.026179938779914945,0.01,793.2808
-0.03490658503988659,-0.017453292519943295,0.01,872.7287
-0.03490658503988659,-0.008726646259971648,0.01,950.886
-0.03490658503988659,0.0,0.01,-1083.1201
-0.03490658503988659,0.008726646259971648,0.01,971.9619
-0.03490658503988659,0.017453292519943295,0.01,892.1197
-0.03490658503988659,0.026179938779914945,0.01,795.4379
-0.03490658503988659,0.03490658503988659,0.01,706.1302
-0.026179938779914945,-0.03490658503988659,0.01,595.7295
-0.026179938779914945,-0.026179938779914945,0.01,707.6999
-0.026179938779914945,-0.017453292519943295,0.01,817.342
-0.026179938779914945,-0.008726646259971648,0.01,928.8161
-0.026179938779914945,0.0,0.01,-1084.968
-0.026179938779914945,0.008726646259971648,0.01,948.8532
-0.026179938779914945,0.017453292519943295,0.01,826.4388
-0.026179938779914945,0.026179938779914945,0.01,707.7001
-0.026179938779914945,0.03490658503988659,0.01,613.1093
-0.017453292519943295,-0.03490658503988659,0.01,430.3073
-0.017453292519943295,-0.026179938779914945,0.01,553.7607
-0.017453292519943295,-0.017453292519943295,0.01,709.0858
-0.017453292519943295,-0.008726646259971648,0.01,874.8881
-0.017453292519943295,0.0,0.01,-1086.2902
-0.017453292519943295,0.008726646259971648,0.01,887.8043
-0.017453292519943295,0.017453292519943295,0.01,709.0858
-0.017453292519943295,0.026179938779914945,0.01,578.3174
-0.017453292519943295,0.03490658503988659,0.01,481.6976
-0.008726646259971648,-0.03490658503988659,0.01,195.8134
-0.008726646259971648,-0.026179938779914945,0.01,292.6379
-0.008726646259971648,-0.017453292519943295,0.01,447.1728
-0.008726646259971648,-0.008726646259971648,0.01,710.2065
-0.008726646259971648,0.0,0.01,-1087.2556
-0.008726646259971648,0.008726646259971648,0.01,710.2067
-0.008726646259971648,0.017453292519943295,0.01,476.3483
-0.008726646259971648,0.026179938779914945,0.01,348.0003
-0.008726646259971648,0.03490658503988659,0.01,276.5443
0.0,-0.03490658503988659,0.01,-95.3454
0.0,-0.026179938779914945,0.01,-84.405
0.0,-0.017453292519943295,0.01,-71.8497
0.0,-0.008726646259971648,0.01,-58.0594
0.0,0.0,0.01,-1087.8654
0.0,0.008726646259971648,0.01,-28.8789
0.0,0.017453292519943295,0.01,-14.9885
0.0,0.026179938779914945,0.01,-2.3266
0.0,0.03490658503988659,0.01,8.7181
0.008726646259971648,-0.03490658503988659,0.01,-363.1716
0.008726646259971648,-0.026179938779914945,0.01,-434.7318
0.008726646259971648,-0.017453292519943295,0.01,-563.1865
0.008726646259971648,-0.008726646259971648,0.01,-797.1447
0.008726646259971648,0.0,0.01,-1087.2556
0.008726646259971648,0.008726646259971648,0.01,-797.1448
0.008726646259971648,0.017453292519943295,0.01,-534.0109
0.008726646259971648,0.026179938779914945,0.01,-379.3694
0.008726646259971648,0.03490658503988659,0.01,-282.4407
0.017453292519943295,-0.03490658503988659,0.01,-568.325
0.017453292519943295,-0.026179938779914945,0.01,-665.0488
0.017453292519943295,-0.017453292519943295,0.01,-795.9238
0.017453292519943295,-0.008726646259971648,0.01,-974.7424
0.017453292519943295,0.0,0.01,-1086.29
0.017453292519943295,0.008726646259971648,0.01,-961.8262
0.017453292519943295,0.017453292519943295,0.01,-795.9238
0.017453292519943295,0.026179938779914945,0.01,-640.4923
0.017453292519943295,0.03490658503988659,0.01,-516.9346
0.026179938779914945,-0.03490658503988659,0.01,-699.7363
0.026179938779914945,-0.026179938779914945,0.01,-794.4315
0.026179938779914945,-0.017453292519943295,0.01,-913.2768
0.026179938779914945,-0.008726646259971648,0.01,-1035.7914
0.026179938779914945,0.0,0.01,-1084.9679
0.026179938779914945,0.008726646259971648,0.01,-1015.7542
0.026179938779914945,0.017453292519943295,0.01,-904.1802
0.026179938779914945,0.026179938779914945,0.01,-794.4315
0.026179938779914945,0.03490658503988659,0.01,-682.3568
0.03490658503988659,-0.03490658503988659,0.01,-792.7574
0.03490658503988659,-0.026179938779914945,0.01,-882.1695
0.03490658503988659,-0.017453292519943295,0.01,-978.9576
0.03490658503988659,-0.008726646259971648,0.01,-1058.9001
0.03490658503988659,0.0,0.01,-1083.1204
0.03490658503988659,0.008726646259971648,0.01,-1037.8243
0.03490658503988659,0.017453292519943295,0.01,-959.5667
0.03490658503988659,0.026179938779914945,0.01,-880.0122
0.03490658503988659,0.03490658503988659,0.01,-792.7574
-0.03490658503988659,-0.03490658503988659,0.1,705.6778
-0.03490658503988659,-0.026179938779914945,0.1,792.8727
-0.03490658503988659,-0.017453292519943295,0.1,872.429
-0.03490658503988659,-0.008726646259971648,0.1,950.7415
-0.03490658503988659,0.0,0.1,-1084.1285
-0.03490658503988659,0.008726646259971648,0.1,972.0122
-0.03490658503988659,0.017453292519943295,0.1,891.955
-0.03490658503988659,0.026179938779914945,0.1,795.1194
-0.03490658503988659,0.03490658503988659,0.1,705.6779
-0.026179938779914945,-0.03490658503988659,0.1,595.2596
-0.026179938779914945,-0.026179938779914945,0.1,707.243
-0.026179938779914945,-0.017453292519943295,0.1,816.9792
-0.026179938779914945,-0.008726646259971648,0.1,928.6415
-0.026179938779914945,0.0,0.1,-1086.0204
-0.026179938779914945,0.008726646259971648,0.1,948.7843
-0.026179938779914945,0.017453292519943295,0.1,826.1578
-0.026179938779914945,0.026179938779914945,0.1,707.2432
-0.026179938779914945,0.03490658503988659,0.1,612.5293
-0.017453292519943295,-0.03490658503988659,0.1,429.827
-0.017453292519943295,-0.026179938779914945,0.1,553.2643
-0.017453292519943295,-0.017453292519943295,0.1,708.6244
